"Année.RAP";"Type.de.Budget..Hors.Budgets.annexes.";"Code.Ministère.au.1er.janvier.2017";"Ministère.au.1er.janvier.2017";"Programme";"Libellé.programme";"Code.Action";"Action";"T1.EXEC.CP.2017";"T2.EXEC.CP.2017";"T3.EXEC.CP.2017";"T4.EXEC.CP.2017";"T5.EXEC.CP.2017";"T6.EXEC.CP.2017";"T7.EXEC.CP.2017"
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"1";"Développement de la technologie spatiale au service de la science";"";"";"71876044";"";"";"122296500";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"2";"Développement de la technologie spatiale au service de l'observation de la terre";"";"";"166752423";"";"";"123202400";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"3";"Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication";"";"";"29325426";"";"";"97837200";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"4";"Maîtrise de l'accès à l'espace";"";"";"134551954";"";"";"343336100";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"5";"Maîtrise des technologies orbitales et de l'innovation technologique";"";"";"115001670";"";"";"117767000";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"6";"Moyens généraux et d'appui à la recherche";"";"";"26620377";"";"";"28988800";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"193";"Recherche spatiale";"7";"Développement des satellites de météorologie";"";"";"";"";"";"75882105";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"214";"Soutien de la politique de l'éducation nationale";"1";"Pilotage et mise en oeuvre des politiques éducatives";"";"455954717";"26";"";"";"";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"214";"Soutien de la politique de l'éducation nationale";"2";"Évaluation et contrôle";"";"86563615";"4236072";"";"";"547920";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"214";"Soutien de la politique de l'éducation nationale";"3";"Communication";"";"10937014";"3024553";"";"";"16814";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"214";"Soutien de la politique de l'éducation nationale";"4";"Expertise juridique";"";"18225976";"4235983";"";"";"1031100";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"214";"Soutien de la politique de l'éducation nationale";"5";"Action internationale";"";"6748456";"5889153";"";"";"1823547";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"214";"Soutien de la politique de l'éducation nationale";"6";"Politique des ressources humaines";"";"550632357";"88759485";"";"";"1368967";""
"2017";"Budget général";"MIN06";"Éducation nationale, enseignement supérieur et recherche";"214";"Soutien de la politique de l'éducation nationale";"7";"Établissements d'appui de la politique éducative";"";"";"151030681";"";"";"";""
